id,min,eng
178,Inyo mamakan susu indomilk di dalam kulkas,He's having the Indomilk milk in the fridge
179,Kesal bana dari tadi manjua yakult ndak untuang taruih,Frustated as all hell for selling Yakult all that time and still not getting any profit.
180,Ramayana baliak mambukak cabangnyo di samarinda,Ramayana has once again opened its branch in Samarinda
181,Tampek ko terkenal bana di kalangan mahasiswa. Dek salain lamak haragonyo pun tamasuak murah kalau manuruik wak. Top lah.,"This place is popular among university students. Cuz aside from the tastiness, the price is pretty cheap, too, in my opinion. It's just tops."
182,"Baragam macam karya seni nan ditampilan di lantai dasar jo kaduo sabana manarik parhatian. Salain itu di halaman lua juo banyak karya seni nan bisa diamati. Pamandangan nan manyajuakan mato, jo cuaca nan sajuak mambuek tampek ko sangaik disukoi banyak urang.",The variety of art pieces displayed on the ground floor and second floor really grabs your attention. There's also more artworks you can observe outdoors. The eye-refreshing view as well as the breezy weather really make this place a favourite for many people.
183,"Awak indak suko samo pelatih nan kini, strategi nan dibueknoyo indak bisa dipakai untuak mangalahan lawan.","I don't like the current coach, the strategy he came up with can't be used to beat our opponents."
184,iko tampek makan untuak urang nan manunggu keluarganyo nan sadang lamak balanjo. Tapi indak untuak urang nan sanang makan nan lamak. Di jakarta banyak bana tampek makan nan jauah labiah lamak dan haragonyo labiah murah.,"This is just a place to eat while you're waiting for your family when they're shopping, not for those who actually want good food. There's a ton of other places in Jakarta that have way better food for way less money. "
185,"Jikok sanak salasai transaksi mangirim, pastian cek baliak alamat di resi sabalun maninggaan counter jne pondok timur yo","After you finished shipping your items, make sure to recheck the address in the receipt before leaving JNE Pondok Timur counter"
186,"Tendang sinan tendang siko hajar sinan hajar siko, kironyo masiang-masiang punyo agenda nan tasambunyi! Malamehan!","Everyone's punching and kicking each other, turns out they all have a hidden agenda! What a joke!"
187,Kesal ndak dek mu. Tapi saroman dikalahan pssm. Ndak lamak hati ndak lamak lalok ndak lamak makan. Sado gara-gara pssm!,"Mad not cuz of you, but cuz PSSM defeated Persis. Feels bad, can't sleep well, can't eat well. All because of PSSM."
188,"Isi pulsa via atm bca tadi jam 17.48 sampai kini alun masuak, buliah tolong dicek? Tarimo kasih","Topped up my credits via BCA ATM at 17:48 and I still haven't received it yet. Can you check it, please? Thank you."
189,"Senin pagi wak diisi jo kegiatan wawancara, sabalun jalan ka lokasi wak harus mamasan gojek dan suasana masih hujan.",My Monday morning was filled with interviews. Before I could walk there I needed to call a Gojek driver while it was still raining.
190,"Tampek nan paliang cocok untuak mancari makanan kalau budget tabateh tapi mamuehan, di siko banyak bana piliahannyo dari mulai masakan khas dari daerah di indonesia sampai masakan modern.","The perfect place if you're looking for a satisfying meal on a tight budget, there's quite a lot of variety here, from Indonesian traditional cuisine all the way to modern dishes."
191,"Awak liek banyak pangguno indosat kanai pamotongan pulsa, ibonyo lai.","I see lots of Indosat users whose credits got cut, a pity, really."
192,"Tampek nan sangaik alami, jo menu nan variatif, jo raso nan pas. Awak suko jo bandrek jaguangnyo, jaguang nan manih disajian sangaik angek. Ado bamacam jajanan tradisional nan alah jarang disobokan.","A very natural place, with varied menu and spot-on flavours. I especially love their bandrek jagung, the sweet corn is served while still warm. There's also an assortment of traditional snacks that you don't see that much anymore."
193,Apak ko ngeceknyo indak masuak aka! Urang dicilok baa kok mamikiaan panciloknyo. Teori dari ma tu?,This man's speaking nonsense! Someone got kidnapped but he's more concerned about the kidnapper. Where's the logic in that?
194,"Tampeknyo gadang. Open 24 hari. Cocok untuak ngemil. Tampek duduk sofanyo nyaman. Sayang banyak mahasiswa nan mangarajoan tugas di sinan, jadi jarang kosong tampeknyo kalau malam. Hehehe","The place is huge. Opens 24 hours a day. Perfect for snacking. The sofa is really comfy. A shame that there's a lot of uni students doing their assignments, so the place is almost always packed at night, hehe"
195,Indak untuang wak ikuik rombongan untuak pai ka bali mambosanan bana,"Unlucky of me to join the group to go to Bali, very boring."
196,"Walupun cukuik baliku untuak sampai ka tampek ko tapi tabaia dek suasana langang, tanang, dan jo suasana udaro dataran tingginyo, yang kebetulan awak biasonyo kalau makan di lua pasti pas hari karajo bia ndak talampau rami tapi yo minusnyo ndak ado lift musik. Untuak makanannyo cukuik lamak dan keluarga awak cukuik manikmatinyo.","Although it took us many turns to get to this place, it was eventually paid off with quiet mood, calm atmosphere and the cool highland breeze. I just so happen to like dining outside during weekdays because there won't be too many people inside but the downside was the lack of ambience music. The food was pretty good and my family also quite enjoyed it. "
197,Sabana cocok untuak basantap basamo kaluarga menikmati hidangan yang lamak sambia maota malapeh panek siap saharian baaktivitas pokoknyo tabaiak lah,Perfect for dining with family. Enjoying the delicious meal while chatting and unwinding after a long day of activities is truly the best.
198,"Datang ka restoran ko indak ado bosannyo, apolai di malam minggu kami sakaluarga sangaik manyukoi tampek ko dek ado live musiknyo. Suasananyo indak barubah dari tahun ka tahun. Menu yang disajian pun masih tatap samo, dari mulai menu eropa sampai khas menu indonesia tatap mamikek. Porsinyo ndak kalah banyak juo","I'll never get tired of coming to this resto, especially on Saturday nights. Our family really likes this place because it has live music. The atmosphere is still fun even after all these years. The menu is also still consistent and mouth-watering, from the European menu to the traditional Indonesian menu. The portion is also huge."
199,Kalau mancaliak muko urang ko baokannyo emosi tingkek dewa,"Everytime I see the face of this person, I feel an inner God-level rage."
200,Masakan india menuruik wak ndak lamak. Talampau banyak rampah,Indian culinary I personally think is not that delicious. Too many spices.
201,"Awak sakerluarga ka tampek ko karano ari alah laruik malam dan indak ado resto yang lain nan buka. Ruponyo jam 10 malam pun tampek ko masih jo macet, parkir panuah dan tampek duduak di dalam resto panuah. Petugas nan tampak panek malayani sunduik se. Onde mande. Akhirnyo makanan kami baok ka hotel.","Our family came to this place because it was late and no other restos were open. Turns out, even at 10 p.m. the place was still packed, with no parking space or even empty seats available inside the resto. The staff looked so tired and sour while serving. For God's sake. In the end we just took our food to the hotel."
202,Oh iyo awak nio fitur cetak resi otomatis dipelokan.,"Oh, yes, I also want the automatic receipt printing feature to be fixed."
203,Awal tahun ko bakti budaya djarum foundation bakarajosamo jo dan garin workshop,In the begining of this year Djarum Foundation Cultural Service event will be held in collaboration with Garin Workshop. 
204,"Dengan mambali moringa chil kid jo chil school sanilai rp 500.000, bunda akan mandapekkan voucher gopay rp 50.00.","By buying Morinaga Chil Kid and Chil School for Rp 500.000, mommies can get Rp 50.000 worth of GoPay vouchers"
205,Kini ko para wisatawan pacinto diving kecewa jo kondisi taluak ambon nan nampak rancak tapi sangai kumuah,"Right now tourists who love diving are very disappointed with Ambon Bay's conditions, which looks beautiful on the surface but is actually really dirty."
206,"Rekomendasi untuak makanan siang ala indonesia, piliahan makanannyo banyak bana tingga tunjuak se. Paliang banyak nan bantuak gorengan, misalnyo empal, ayam goreng, tahu goreng, dll. paralatan makan nan dipakai nan ala model jaman dulu, kayak piriang seng, galeh seng, maingekan makan di jaman dulu. Pelayanan capek. Mantap","Recommended for Indonesian style lunch, there are so many choice of foods you just have to pick. Mostly fried, such as empal, fried chicken, fried tofu, etc. Utensils used are old-school, such as metal plate, metal glass, reminding us of eating in the past. The service is quick. Awesome."
207,"Tampek nyaman, sangaik windy tapi sajuak lo. Konsep tampeknyo rancak, vip roomnyo keren bana. Instagrammable bana lah tampeknyp. Cocok untuak nongkrong-nongkrong jo kawan, kaluarga, pacar. Makanannyo nod bad lo, dan haragonyo pun tajangkau. Uni kasirnyo waktu itu ramah bana.","The place is cozy, pretty windy but also refreshing. Good concept for the place, very cool VIP room. Absolutely instagrammable. Perfect for hanging out with friends, family, or significant other. The food is not bad either, and the price is also affordable. The cashier lady at that time was so friendly."
208,Iko tuo bangka alah baun tanah indak sadar-sadar yo. manusia paliang buruak nan paliang busuak.,"Seems like this old fart won't ever change his ways even after all this time, huh? Worst, most rotten person ever."
209,"Ndak ado sunlight dan mama lemon, garnier men turbo oil control pun jadi untuak cuci tangan siap masak alias licin oy siap kanai minyak.","No Sunlight no Mama Lemon, just use Garnier Men Turbo Oil Control to wash your hands after cooking aka I can't get this slippery oil off my hands."
210,"Batagor kingsley sangai lamak dan disukoi dek kaluarga dan warga jakarta. Satiok kali pai ka banduang, kaluarga jo kawan-kawan taruih mintak dibalian batagor kingsley.","Batagor Kingsley is very delicious and well-like by Jakartan people and families. Every time I go to Bandung, my family and friends always beg me for Batagor Kingsley"
211,"Kopi yang paliang lamak di siko adolah kopi alpukat dan kopi pisang. Kopi bacampua alpukat ndak mambuek raso kopi ko mamuda, sangai cocok di lidah awak sabagai pacinto kopi campua. Janis makanan yang disajian lumayan lamak pulo, favorit awak adolah kantang gorenganyo untuak harago tajangkau.","The best coffee here are the avocado coffee and banana coffee. The avocado doesn't ruin the coffee flavour at all, perfect for my taste as a mixed coffee lover. The food they serve is also pretty tasty, my favorite being their french fries for an affordable price"
212,Inyo ketauan buek indomie goreng jumbo padahal kan kalau 1 tu ndak kanyang.,"He/She was caught making Jumbo-sized Indomie Goreng, even though just one of those won't be fulfilling."
213,"Pas mangunjuangi rumah makan ko karano diajak rekan bisnis wak. Wakatu tu awak makan mie ko taraso punyo citoraso nan lamak bana. Sayang se pas tu, mi wak asin bana. Sehinggo mi nan saharusnyo lamak bana indak bisa wak rasoan. Untuak suasana tampek tagolong biaso se nyo. Untuak harago tagolong maha bana. 2 mangkok mie haragonyo rp. 95.000.","I was invited to this restaurant by my business partner. When I tried the noodles, it tasted absolutely amazing. Unfortunately, at the time, mine was too salty. I couldn't really enjoy the amazing noodles because of that. For the atmosphere, it was just decent. However, it's really expensive, 2 bowls of noodles cost us Rp 95.000"
214,Driver ko indak nio pickup barang sajak tadi siang. Mohon ditindaklanjuikan.,This driver won't pick up my items since this noon. Please follow-up my complaint
215,Pagi nan mamanekan rasonyo nio anok se,What a tiring morning I just want to rest
216,Bidang ang ndak di dunia politik andia!,"Your field ain't in politics, dumbass!"
217,"Penasaran nio dicubo ayam yang cukuik tanamo tu. Siang tu langang, pasan ayam baka. Kironyo ayam bakanyo padeh. piliahan. Siap tu wak mintak 2 ayam baka yang indak padeh. Ampun! Ayamnyo mode digoreng tu diagiah kecap senyo. Kami lah ilang salero makan.","Curious to try tht rather famous chicken. That afternoon was empty, and I ordered a grilled chicken. Turns out the grilled chicken was spicy. My children couldn't eat them. They server shouldve asked us first whether we wanted spicy or not since there was 2 options. I then ordered 2 more non-spicy grilled chickens. My Goodness! It was as if the chicken was only fried and smeared with soy sauce. We had lost our appetite by then, "
218,"Awalnyo rago jo kecepatan palayanan di siko tapi lumayan lah, tapek wakatu kok. awak lupo pasan jus apo kayaknyo jus campua gitu, oke lah. Dan makanannnyo juo ok. Ohiyo iko mereka agiah gratis es krim. Bisa dicubo tanyo jo palayannyo. Suko.","At first I was a bit worried about the service's speed but it was pretty good and punctual. I forgot the name, but I remember ordering a mixed juice of some kind, which was nice. And the food was also okay. Oh yeah, they served free ice cream. You can try talking to the servers about it. Love it."
219,"Awak ka banduang baru patang baru tawujuik makan di siko. Awak makan di the valley suki. Kanyang, lamak, palayanan ramah, samo pamandangannyo gagah kalau awak duduak dakek jendela. Yo jo harago rp. 190.000, -/ urang alah tamasuak pajak awak bisa makan sampai pueh, sistemnyo bantuak hanamasa tapi labiah lamak tampeknyo.","Since coming to Bandung, only now do I get the chance to eat here. We ate in The Valley Suki. Our tummy's satisfied, food tastes really good, the waiters are friendly, and there's a nice view if you're by the window. Yes, with only Rp 190.000,- / person (tax included), you can eat anything you want. It works like Hanamasa but the place is way more fun."
220,"Binguang nio makan kama nan tampeknyo asik, makanan lamak dan harago tajangkau? Ka siko se. Awak samo pasangan menikmati bana. Pangunjuang banyaknyo anak mudo jadi ikuik maraso mudo lo liak.","Don't know where to have a nice and affordable place to grab a bite? Just come right here. Me and my partner are really enjoying it. Most of the customers are young people, making us feel just as young again."
221,"Dari segi latak/lokasi cukuik mudah dicari. Bangunan dan isi bagian di dalamnyo manarik, apolai ado taman ketek di dalamnyo nan diisi lo jo gentong yang aianyo dibiaan maalia taruih. Mambuek suasananyo jadi tambah romantis dan manyanangan'. Menu nan disajian lumayan baragam dan dari segi raso lumayan lamak.","The place / location is pretty easy to spot. The building and its interior are interesting, especially the small garden inside that has an urn with water flowing out of it constantly. Makes the mood more romantic and pleasant. The menu offered had a lot of variety and as far as taste goes, it's quite good."
222,"Menu sushi kurang banyak, kalau bisa ado menu sushi jo porsi ketek 2 potong. Harusnyo ado pelengkap, wasabi, lado bubuk. Jadi sabananyo kurang istimewa.","The sushi menu isn't large enough, you might wanna add a small portion, like 2 pieces each. There should also be complementaries such as wasabi and chilli powder. To be honest, not that special."
223,"Baru patamo kali awak makan di kadai ko. Bukan konsep kafe atau resto tapi tampil jo kadai makan nan manyajian makanan tradisional.
","My first time eating in this place. No concept of a cafe or a resto, just a humble eatery serving traditional meals."
224,"Wak tibo ka maxi s resto samo keluarga, ruponyo di sinan ado pesta pernikahan pesta ulang tahun sahinggo tampek jadi panuah bana. Pelayanannyo jadi indak baik. Seharusnyo kalau tampek emang panuah, pihak resto maagiah tau ka tamu sabalun tamu mamarkiran kendaraan saat itu hujan dareh, jadi jarak tampek parkir ka resto lumayan jauah. Kalau paralu ditutuik samantaro salamo pesta balangsuang.","I went to Maxi S resto with my family, turns out that there was a wedding party and birthday party so the place was jam-packed. What a poor service, then. If the place was that crowded, the resto staff should've told the customers before they park their cars while it's raining heavily outside, as the distance between the parking lot and the resto was quite far. Better yet, they should've closed the resto temporarily while the party was going on."
225,Telkom hackathon marupokan sabuah program dari telkom indonesia nan batujuan untuak mawadahi para generasi mudo nan punyo keahlian di bidang teknologi informasi jo pemrograman untuak mangambangan parusahaan rintisan nan mereka punyo.,Telkom Hackaton is a training programme by Telkom Indonesia that aims to facilitate the younger generation who has experties in the Information Technology field and programming to develop their own startups.
226,Minumannyo awak ndak ado yang suko. Ayam gorengnyo biaso se. Ado saus keju tapi wak ndak suko saus keju di siko. Ndak lamak.,I liked none of the drinks. The chicken was so-so. There was cheese sauce but I didn't like theirs. Not good
227,"Resto kaluarga nan sangaik direkomendasian, pamandangan sakaliliang resto nan sangaik rancak, pondok-pondok nan nyaman, makanan nan disajian juo lumayan lamak, apolai jikok malam hari ko pamandangan resto sangai rancak","A highly recommended family resto, it has beautiful views surrounding it, comfortable huts, and great food. The night view of this resto is especially breathtaking."
228,Awak singgah ka restoran ko untuak makan malam karano indak sangajo lewat dalam pajalanan ka hotel wak manginap dan karano alah kalitakan dan awak dan kawan wak akhianyo mamiliah untuak singgah di restoran ko. Raso makanannyo biaso se bahkan awak diharusan mambayia labiah dulu meskipun awak alun salasai makan hanyo karano jam alah dakek waktu tutuik.,"I went to this restaurant for dinner because I just happened to pass it on my way to the hotel I was staying in and me and my friends were hungry so we decided to eat here. The taste was so-so, but we had to pay first even though we weren't finished yet just because it was near the closing time."
229,"Kesan patamo manginap di siko, check in indak bisa jam 2 siang soalnyo nan manginap sabalunnyo talambek check out, indak ado apo pun nan ditawaran pihak staf pas kami harus salamo sajam menunggu kamar dibarasiahan. Kamudian kami pun diagiah tau bahwa restoran tutuik jam 5 sore sahinggo bilo nio mamasan makanan untuak makan malam harus sabalun jam 5 sore. Cukuik malamehan.","Our first impression of staying here, checking in at 2 in the afternoon was not possible because the previous guest checked out late. We were offered nothing from the staff as we waited for an hour while they cleaned our room. Then we were told that the restaurant would close at 5 p.m. so if we wanted to order food for dinner it had to be before 5. Kinda annoying."
230,"Manikmati kota banduang tanpa kuliner, ndak sero, kafe halaman, manyiapan makanan indonesia, gado gadonyo lamak, pisang goreang kejunyo lamak lo samo sacangkia kopi sambia manunggu kawan tibo sabana manarik.","You can't enjoy Bandung without its food. Kafe Halaman offers you traditional Indonesian food. The gado-gado is tasty, the fried banana with cheese is also good, and a nice cup of coffee while waiting for your friends to come is always enticing "
231,"Satuju makin naiak fase wajar kalau tiket naiak. Tapi, harago dasar di fase panyisiahan alah maha bana. Cubo bandiangan harago manonton di malaysia, thailand.","Agree that with a higher phase, the cost to tickets should get higher. But, the base price during the elimination phase is already too high. Try comparing it with the cost of watching it in Malaysia or Thailand."
232,"Awak jo istri tagoda untuak mengunjungi restoran ko waktu kami sakeluarga bakunjuang ka pontianak minggu kapatang, karano berdasarkan penilaian trip advisor abang kepitiang marupokan restoran tapopuler di pontianak. Malam sekitar jam 7 awak jo bini lah sampai dan dapek suasana restoran yang indak terlalu rami taiisi sekitar 4 meja se, karano kami hanyo baduo ingin maota.","Me and my wife were tempted to visit this restaurant when our family was visiting Pontianak last week, because our trip advisor said that Abang Kepiting was the most popular resto in Pontianak. Around 7 at night, me and my wife had arrived and the place wasn't that crowded, with only around 4 tables filled, since the two of us just wanna chat."
233,"Awak tibo di rumah makan ko pas manjalang jam makan siang. Awal awak tibo rumah makan ko cuma ado babarapo pangunjuang yang sadang basantap. Tapi, pas tibo jam makan siang rumah makan ko panuah jo warga kota makassar. Banyaknyo warga makassar yang tibo untuak makan siang manggambaran bahwasanyo tampek ko marupoan rumah makan favorit di kota makassar.","I arrived in this restaurant near lunchtime. At first there were only a few customers eating here. However, as soon as lunchtime came, the restaurant was flooded by the people of Makassar city. The number of Makassarese people coming here to have lunch just goes to show that this is the number one restaurant in Makassar city."
234,Tiket waterboom PIK jakarta dikabaan naiak,The PIK Waterboom Jakarta tickets are rising in price.
235,Lokasi agak jauah dari kota bandung dan kini ado 2 gerbang tampek mambaia untuak bisa ka the peak jo total 5000 rupiah. Ko mode pamasoan untuak pungutan lia dek wak ndak bisa ka the peak tanpa lewat kaduo gerbang ko.,The location's pretty far from the city of Bandung and now there are two toll gates to go through in order to go to The Peak witha total cost of 5000 rupiah. This is basically like extortion since you wouldn't be able to go to The Peak without going through these two gates.
236,"Data langkok, jan picayo kpk ko panduto. Kasus ko di audit 10 tahun nan lalu dan alah langkok. Karano abih itu ado audit aliran dana dengan tujuan khusus. Kok nio mintak audit lo liak. Alah mah. Kasus century tu skandal malinduangan elit tatantu.","Here's the full data, don't believe the KPK, it's all lies. This case was audited 10 years ago and nothing was missing. Because after that, there was an audit about fund allocation for special needs. If they wanted to, they could have had another audit. Just forget about it. The Century case was just a scandal to protect certain elites."
237,"Sangaik dianjuaan, masakan lamak bana koa! Awak duduak di tampek saung nan di bagian ateh pas jam-jam matoari tabanam, makan malam dikawani jo sunset! Dan itu ancaak bana.","Very recommended, the food is absolutely delicious! We sat on in the upper gazebo when the sun is setting, dinner with sunset! And it's so pretty."
238,"Rcti terlalu banyak iklan indak jaleh, manggaduah bana","Rcti has too many useless advertisements, very annoying"
239,"Baiak, salain wisata wahana wak suko pulo jo wisata kuliner. Sajak wak di bandung kuliner nan paliang wak buru adalah siomay dan batagor. Mingkin kalau batagor wak alah akrab jo batagor kingsley yang rasonyo malegenda. Untuak urusan siomay, rasonyo indak salah kalau traveler mamanjoan paruiknyo di saung siomay ko. Sarupo judulnyo. Teksturnyo lambuik, bumbunyo pun pas kanai bana.","Okay, aside from checking out theme parks, I also like culinary travels. Since coming to Bandung, the food I've been craving for are siomay and batagor. For batagor I'm already familiar with the legendary taste of Batagor Kingsley. But when it comes to siomay, I think travelers would love to treat their bellies in Saung Siomay. The title says it all, the texture is soft, and the sauce just hits the spot."
240,"Panyajian cukuik capek, palayanan elok dan pastinyo masakan lamak. Untuak harago relatif sasuai jo raso makannyo.","The orders come out quickly, the servers are kind and of course the food is delicious. The price is just about right considering the taste."
241,"Nio berang samo indosat, alah duo hari sinyal mode iko bana","I'm about to explode at Indosat, it has been two days and their signal is still horrible"
242,"Lah indosat bangkrut se, di tampek den se sinyal tb2 kdg ilang muncul ilang muncul, padahal daerah kota semarang","Indosat should just go bankrupt, even in my place the signal can sometimes go off and on and off and on, even though I'm in the region of Semarang"
243,Transaksi bali pulsa PLN pra bayia malalui mandiri mobile manjadi indak efisien karano harus telepon 14000 untuak dapek indak tokennyo / indak otomatis.,Buying PLN prepaid credits through Mandiri Mobile becomes inefficient because I have to call 14000 to get the token / not automatic
244,"Ndak mesti di ruang tatutuik buek pertemuan, pertemuan di resto ko juo sero. Jan lupo mamasan nasi goreng dendeng jo teh tarik.","Meetings aren't always held in a closed room, this resto can also be a fun meeting place. Don't forget to order the fried rice with jerky and the Teh Tarik"
245,Samsung galaxy s alah diluncuran samalam. Awak kecewa desainnyo standar bana. Harapan wak cuma tawujud 70%. Pacuma tabaok sampai mimpi.,Samsung Galaxy S has been released last night. I was disappointed with the boring design. Only 70% of my dream came true. No use dreaming about it all the time
246,Sayang restorannyo kumuah. Liek kapuyuak ketek di dakek piriang-piriang sayua barasiah nan dipakai untuak manyajian makanan. Dan ado kapuyuak ketek lo di tampek duduaknyo.Baarok kabarasiahan tampek dipelokan.,Shame that the restaurant was dirty. Saw a tiny cockroach near the clean vegetable plates used to serve food. And there was another small cockroach on the seats. Hope they can improve the cleanliness of this place.
247,Iyo haragonyo 120 ribu. Awak pun alah cek tokopedia.,"Yes, the cost is 120 thousand. I've also checked it on Tokopedia."
248,"Sanang rasonyo dapek maakhiaan jalan-jalan wak di bandung jo kunjuangan terakhir wak baranti di the valley di tanggal 2 november. Hari tu adalah acara dalam marayoan hari papisahaan basamo kawan wak nan baru ka pindah ka kantua baru. Menunyo sangaik baragam tapi ribs langsuang manjadi piliahan wak. Manuruik wak, haragonyo sabandiang jo raso makanannyo. Top.","Glad that we could end our trip in Bandung with a visit to The Valley on November 2nd. That day we were holding a farewell party for our friend who was gonna move to a new office. The menu had a lot to choose from, but I immediately went for the ribs. For me, the taste was well worth the price. Top notch."
249,"Kapa km fungka permata v tabaka, sageteknyo 13 tewas","The Fungka Permata V motor vessel went up in flames, killing at least 13 people. "
250,"Somasi nan dilayangan rohayani, seorang pacandu rokok, ka pt gudang garam, tbk dan pt djarum belakangan mamunculkan isu lain.","The cease-and-desist order issued by Rohayani, a tobacco addict, against PT Gudang Garam Tbk. and PT Djarum recently brought up other issues."
251,Pakai kartu kredit bca indak untuang malah rugi gadang,"Instead of getting money using BCA credit card, I lose big time."
252,"Restoran ko indak sakadar tampek makan biaso, tapi bisa lo dijadian tampek wisata. Lokasinyo sangaik dingin, tampeknyo rancak lo, nyaman, jo pamandangan nan eye catching. Menu nan disadioan juo baragam  jo raso nan lamak. Indak paralu manunggu lamo dalam panyajian makanannyo. Harago relatif tajangkau pulo. Untuak tampek bafoto ancak lo.","This restaurant is not just a place to eat, but also a tourist attraction. The location is very cold, the place is good, cozy, and has an eye-catching scenery. The available menu also varies and tastes good. No need to wait long for the food. The price is also relatively affordable. Great place to take pictures, too."
253,"Lokasi mudah dijangkau, panataan restoran average, menu makanan lumayan baragam dan raso masakannyo lamak, harago tajangkau","The location is easily accessible, the restaurant layout is average, the menu is quite varied and the food is delicious, the price is affordable"
254,"Yo serba salah memang, macet mangaluah, indak macet heran.","Well we just can't win. When there's traffic people whine, and when there's none they ponder"
255,"Rumah makan iko talatak di jalan abdurahman saleh, tampeknyo nyaman dan barasiah, menu masakannyo banyak piliahannyo. Rasonyo cukuik lamak dan haragonyo pun sapadan jo raso masakannyo.","Thie diner is located on Abdurahman Saleh Street, it's pretty comfortable and clean, lots of options for the dishes. Tastes pretty good and worth the price."
256,Kadang mikia baa yo rasonyo jadi padusi di gym. Banyak mas mas jo om om mancaliak. Pasti risiah dan ndak nyaman.,I sometimes think about how it feels to be a woman in a gym. Lots of guys and middle-aged men are staring. Must be very uncomfortable
257,"Kami tibo makan ka restoran tu, maajak kaluarga akak wak. Mereka sadonyo sangaik suko kualitas masakan di siko. Kami pasan udang goreang talua asin jo rasonyo sangaik lamak samo malabiahan kualitas resto di hotel bintang limo. Sangaik direkomendasian.","We went to eat at that resto, inviting my brother's family. They all absolutely loved the food quality here. We ordered salted egg fried shrimp and the taste was better than a resto in a five-star hotel. Highly recommended"
258,Pelayanan solaria sabana ndak mamuehan hampia di sado cabang yang ado di Jakarta. Ndak direkomendasian bana.,"Hasil terjemahan di sheet translation sudah benar, namun di sini tidak lengkap"
259,Kawan wak malamar karajo di tokopedia,My friend applies for a position in Tokopedia
260,Bukan cuma bisnis kaluarga. Tapi manjago kapantiangan negara dan masyarakaik tanpa mambenturan jo kapantiangan global.,Not just family business. But also keeping the country's interests without clashing with global interests.
261,"Talatak di daerah pabukitan sahinggo udaro dan pamandangannyo sangaik nyaman, di sampiang tu tadapek babagai pilihan menu masakan nusantara, steak maupun pasta ado juo.","Located in the hills, which makes the air and views really comfortable. Aside from that, the Nusantara cuisine menu has a lot of variety, there're also steaks and pastas. "
262,"Baik, tarimo kasih atas jawaban nan baitu lengkap dan jaleh yo","Great, thanks for the detailed and clear answer."
263,"Ayam gorengnyo lamak, taruang gorengnyo iyo lo. Sayang nio cubo jariang gorengnyo alah abih. Oh iyo jus kefonfongonyo segar lo.","The fried chicken was good, and so was the fried eggplant. A shame that the fried jengkol was all out because I'd like to try some. Oh yeah, the kefongfong juice was also fresh"
264,"Senin pagi memang taruih indak basahabat, mulai dari jilbab ndak rapi, jalanan macet, transjakarta arah sanayan raminyo astaghfirullah, absen talaik lewat jam 8, ndak ikuik doa pagi.","Monday mornings are never friendly, from my messy jilbab, heavy traffic, the ungodly crowded Transjakarta to Senayan, clocking in work way past 8, not attending morning prayers"
265,"Bingik tu rasonyo ndak lamak. Bingik tu makan ati. Bingik tu sakik, kalau ndak dikecekan
","Jealousy doesn't feel good at all. Jealousy eats away at your heart. Jealousy is pain, if not expressed"
266,"Kalabihan holycow dibanding resoto steak lainnyo adalah wagyunyo yang mantap. Favorit wak adalah wagyu sirloin steak yang dinikmati jo mushroom sauce. Rasonyo mantap. Dagiangnyo taba dan dinikmati jo butiran jaguang abuih, sayua bayam jo masih potatto. Lamak dan mantap.","What makes Holycow better than the other steak restos is their amazing wagyu dishes. My favorite has to be the wagyu sirloin steak coupled with mushroom sauce. It's so good. The thick meat goes along perfectly with boiled corn kernels, spinach, and mash potatoes. Absolutely delicious."
267,"Hai ditha, kami informasian bahwa pambayaran sanak alah masuak ka akun rekening kami namun pamasanan indak berasil.","Hello Ditha, we are here to infom you that we have received your payment in our account. However, your ordering process is unsuccessful."
268,"Cuma kalau bisuak nio mancari, nyo ado di rak yang dakek cream krim wardah basabarangan jo rak lotion, citra, sister.","But if you want to look for it tomorrow, it will be on the shelf near the Wardah creams, across the shelves with the Citra lotions, sister."
269,"Resto jo konsep sauang2 yang talatak di dalam komplek perumahan. Makanan yang disajian baragam mulai dari sundanase, makanan barat, dll. udaro cukuik dingin di malam hari atau katiko ujan jadi disaranan mambaok jaket. Jalan antaro sauang manggunoan batu-batu sahinggo kadang-kadang licin katiko ujan","A resto with the concept of bungalows located within a residential complex. The dishes served vary from Sundanese, Western, etc. the air is pretty cold at night or when it's raining so it's advisable to bring a jacket. Stones are used to walk fromo bungalow to bungalow so sometimes ithey get slippery when it's raining."
270,"Tampeknyo nyaman bana, makanannyo lamak, kopinyo lamak. Pas untuak ngumpua jo kawan-kawan atau makan malam.","The place is so cozy, the food tastes great, and the coffee is amazing. Perfect place for hanging out with friends or dinner"
271,"Kalau kuota awak ndak baliak bisuak, awak nio berang-berang ka indosat","If my quota isn't back by tomorrow, I'm gonna be so mad at Indosat"
272,"Tampeknyo nyaman, makanan lumayan lamak, Untuak yang nio maota lamo-lamo cocok bana ado banyak tampek lesehan nyaman bana plus udaro yang sajuak.","The place's comfy, and the food's great. If you wanna chat around for a long while, this is the place. There're lots of lesehan spots, and they're so cozy when coupled with the breezy air"
273,Raso makanan cukuik lamak. Lokasi cukuik strategis dakek eskalator turun dan naiak mal. Sacaro kasaluruhan ancak mantap.,"The food is quite good. The location is ideal, near the mall's escalators. Overall, absolutely amazing"
274,"Hai, yo, silakan sanak dapek mancubo lakuan pambayaran pdam di bukalapak.","Hello, yes, you can pay your water bills through Bukalapak"
